类型,名称,仙草,毒草,链接,,,,,,,,
都市,《绝对一番》（校对版全本）作者：海底漫步者,428,168,http://www.zxcs.me/post/12086,,,,,,,,
仙侠,《仙藏》（校对版全本）作者：鬼雨,426,256,http://www.zxcs.me/post/11245,,,,,,,,
玄幻,《原血神座》（校对版全本）作者：缘分0,426,165,http://www.zxcs.me/post/11409,,,,,,,,
玄幻,《最后一个使徒》（校对版全本）作者：卷土,424,198,http://www.zxcs.me/post/11171,,,,,,,,
仙侠,《青梅仙道》（校对版全本）作者：乌泥,424,116,http://www.zxcs.me/post/11820,,,,,,,,
玄幻,《万界天尊》（校对版全本）作者：血红,423,215,http://www.zxcs.me/post/11085,,,,,,,,
玄幻,《真武世界》（校对版全本）作者：蚕茧里的牛,420,224,http://www.zxcs.me/post/11518,,,,,,,,
都市,《我真没想重生啊》（校对版全本）作者：柳岸花又明,419,295,http://www.zxcs.me/post/12676,,,,,,,,
都市,《文娱万岁》（校对版全本）作者：我最白,419,141,http://www.zxcs.me/post/11271,,,,,,,,
玄幻,《神门》（校对版全本）作者：薪意,417,230,http://www.zxcs.me/post/11106,,,,,,,,
仙侠,《诡异修仙世界(恐怖修仙世界)》（校对版全本）作者：龙蛇,415,239,http://www.zxcs.me/post/12051,,,,,,,,
玄幻,《万域之王》（校对版全本）作者：逆苍天,415,208,http://www.zxcs.me/post/11325,,,,,,,,
游戏,《艾泽拉斯死亡轨迹》（校对版全本）作者：驿路羁旅,413,127,http://www.zxcs.me/post/11531,,,,,,,,
仙侠,《道门法则》（校对版全本）作者：八宝饭,411,157,http://www.zxcs.me/post/11789,,,,,,,,
都市,《点道为止》（校对版全本）作者：梦入神机,409,162,http://www.zxcs.me/post/11803,,,,,,,,
科幻,《深空之下》（校对版全本）作者：最终永恒,407,100,http://www.zxcs.me/post/11180,,,,,,,,
科幻,《环城术士》（校对版全本）作者：黑袍雷斯林,406,145,http://www.zxcs.me/post/11688,,,,,,,,
仙侠,《大仙官》（校对版全本）作者：暗黑茄子,406,130,http://www.zxcs.me/post/11598,,,,,,,,
玄幻,《神话禁区》（校对版全本）作者：何处不染尘,405,151,http://www.zxcs.me/post/11234,,,,,,,,
玄幻,《伊森的奇幻漂流》（校对版全本）作者：冥域天使,402,311,http://www.zxcs.me/post/11622,,,,,,,,
科幻,《诡神冢》（校对版全本）作者：焚天孔雀,399,160,http://www.zxcs.me/post/11673,,,,,,,,
玄幻,《神宠进化》（校对版全本）作者：酒池醉,397,132,http://www.zxcs.me/post/11515,,,,,,,,
仙侠,《一剑飞仙》（校对版全本）作者：流浪的蛤蟆,395,271,http://www.zxcs.me/post/11081,,,,,,,,
玄幻,《道门入侵》（校对版全本）作者：Deathstate,395,206,http://www.zxcs.me/post/11452,,,,,,,,
仙侠,《洪荒二郎传》（校对版全本）作者：言归正传,393,151,http://www.zxcs.me/post/11416,,,,,,,,
仙侠,《冥主》（校对版全本）作者：中原五百,391,87,http://www.zxcs.me/post/11047,,,,,,,,
玄幻,《剑仙三千万》（校对版全本）作者：乘风御剑,390,155,http://www.zxcs.me/post/9207,,,,,,,,
科幻,《影视世界旅行家(电影世界私人订制)》（校对版全本）作者：昨夜大雨,390,142,http://www.zxcs.me/post/12179,,,,,,,,
玄幻,《大夏王侯》（校对版全本）作者：一夕烟雨,386,324,http://www.zxcs.me/post/11596,,,,,,,,
科幻,《黎明医生(瘟疫医生)》（校对版全本）作者：机器人瓦力,381,89,http://www.zxcs.me/post/12075,,,,,,,,
都市,《重塑人生三十年》（校对版全本）作者：皇家雇佣猫,377,194,http://www.zxcs.me/post/11228,,,,,,,,
都市,《黄金渔村》（校对版全本）作者：全金属弹壳,377,89,http://www.zxcs.me/post/11402,,,,,,,,
玄幻,《当个法师闹革命》（校对版全本）作者：尹四,375,219,http://www.zxcs.me/post/11273,,,,,,,,
仙侠,《无疆》（校对版全本）作者：小刀锋利,373,314,http://www.zxcs.me/post/11483,,,,,,,,
仙侠,《带只天使去修仙》（校对版全本）作者：死磕,372,116,http://www.zxcs.me/post/10659,,,,,,,,
玄幻,《莽穿新世界》（校对版全本）作者：楚白,371,152,http://www.zxcs.me/post/11385,,,,,,,,
游戏,《网游之全球在线》（校对版全本）作者：笙箫剑客,368,335,http://www.zxcs.me/post/10964,,,,,,,,
游戏,《光头武僧在都市》（校对版全本）作者：易伤秋者,366,163,http://www.zxcs.me/post/11697,,,,,,,,
